fips_code,county,state,customers_out,run_start_time
27053,Hennepin,Minnesota,6,2022-10-07 00:00:00
27053,Hennepin,Minnesota,6,2022-10-07 00:15:00
27053,Hennepin,Minnesota,6,2022-10-07 00:30:00
27053,Hennepin,Minnesota,7,2022-10-07 00:45:00
27053,Hennepin,Minnesota,8,2022-10-07 01:00:00
27053,Hennepin,Minnesota,9,2022-10-07 01:15:00
27053,Hennepin,Minnesota,7,2022-10-07 01:30:00
27053,Hennepin,Minnesota,7,2022-10-07 01:45:00
27053,Hennepin,Minnesota,1,2022-10-07 02:00:00
27053,Hennepin,Minnesota,3,2022-10-07 03:15:00
27053,Hennepin,Minnesota,53,2022-10-07 03:30:00
27053,Hennepin,Minnesota,53,2022-10-07 03:45:00
27053,Hennepin,Minnesota,52,2022-10-07 04:00:00
