split,group_key,event_id,parent_system_id,record_id,county_fips,scenario_id,window_start_utc,window_end_utc,primary_hazard,region,season,mode,label_status,control_weight,source_row_keys
calibration,florence-2018,florence-2018,florence-2018,florence-2018-37129-2018-09-14t12z,37129,florence-2018-replay,2018-09-14T12:00:00Z,2018-09-14T18:00:00Z,tropical_cyclone,South,fall,replay,unavailable,unavailable,"[""eaglei-florence-2018-37129-1218z:37129:2018-09-14 12:00:00Z"",""eaglei-florence-2018-37129-1218z:37129:2018-09-14 12:15:00Z"",""eaglei-florence-2018-37129-1218z:37129:2018-09-14 12:30:00Z"",""eaglei-florence-2018-37129-1218z:37129:2018-09-14 12:45:00Z"",""eaglei-florence-2018-37129-1218z:37129:2018-09-14 13:00:00Z"",""eaglei-florence-2018-37129-1218z:37129:2018-09-14 13:15:00Z"",""eaglei-florence-2018-37129-1218z:37129:2018-09-14 13:30:00Z"",""eaglei-florence-2018-37129-1218z:37129:2018-09-14 13:45:00Z"",""eaglei-florence-2018-37129-1218z:37129:2018-09-14 14:00:00Z"",""eaglei-florence-2018-37129-1218z:37129:2018-09-14 14:15:00Z"",""eaglei-florence-2018-37129-1218z:37129:2018-09-14 14:30:00Z"",""eaglei-florence-2018-37129-1218z:37129:2018-09-14 14:45:00Z"",""eaglei-florence-2018-37129-1218z:37129:2018-09-14 15:00:00Z"",""eaglei-florence-2018-37129-1218z:37129:2018-09-14 15:15:00Z"",""eaglei-florence-2018-37129-1218z:37129:2018-09-14 15:30:00Z"",""eaglei-florence-2018-37129-1218z:37129:2018-09-14 15:45:00Z"",""eaglei-florence-2018-37129-1218z:37129:2018-09-14 16:00:00Z"",""eaglei-florence-2018-37129-1218z:37129:2018-09-14 16:15:00Z"",""eaglei-florence-2018-37129-1218z:37129:2018-09-14 16:30:00Z"",""eaglei-florence-2018-37129-1218z:37129:2018-09-14 16:45:00Z"",""eaglei-florence-2018-37129-1218z:37129:2018-09-14 17:00:00Z"",""eaglei-florence-2018-37129-1218z:37129:2018-09-14 17:15:00Z"",""eaglei-florence-2018-37129-1218z:37129:2018-09-14 17:30:00Z"",""eaglei-florence-2018-37129-1218z:37129:2018-09-14 17:45:00Z""]"
calibration,upper_midwest_2022-12-21_arctic_cyclone,mn-2022-12-21-winter-storm,upper_midwest_2022-12-21_arctic_cyclone,mn-2022-12-21-winter-storm-27053-20221221t1800z,27053,mn-2022-12-21-winter-storm-replay,2022-12-21T18:00:00Z,2022-12-22T00:00:00Z,heavy_snow,Midwest,winter,replay,unavailable,unavailable,"[""eaglei-2022-42547897-20221221t180000z-20221222t000000z:27053:2022-12-21T18:00:00Z"",""eaglei-2022-42547897-20221221t180000z-20221222t000000z:27053:2022-12-21T18:15:00Z"",""eaglei-2022-42547897-20221221t180000z-20221222t000000z:27053:2022-12-21T18:30:00Z"",""eaglei-2022-42547897-20221221t180000z-20221222t000000z:27053:2022-12-21T18:45:00Z"",""eaglei-2022-42547897-20221221t180000z-20221222t000000z:27053:2022-12-21T19:00:00Z"",""eaglei-2022-42547897-20221221t180000z-20221222t000000z:27053:2022-12-21T19:15:00Z"",""eaglei-2022-42547897-20221221t180000z-20221222t000000z:27053:2022-12-21T19:30:00Z"",""eaglei-2022-42547897-20221221t180000z-20221222t000000z:27053:2022-12-21T19:45:00Z"",""eaglei-2022-42547897-20221221t180000z-20221222t000000z:27053:2022-12-21T20:00:00Z"",""eaglei-2022-42547897-20221221t180000z-20221222t000000z:27053:2022-12-21T20:15:00Z"",""eaglei-2022-42547897-20221221t180000z-20221222t000000z:27053:2022-12-21T20:30:00Z"",""eaglei-2022-42547897-20221221t180000z-20221222t000000z:27053:2022-12-21T20:45:00Z"",""eaglei-2022-42547897-20221221t180000z-20221222t000000z:27053:2022-12-21T21:00:00Z"",""eaglei-2022-42547897-20221221t180000z-20221222t000000z:27053:2022-12-21T21:15:00Z"",""eaglei-2022-42547897-20221221t180000z-20221222t000000z:27053:2022-12-21T21:30:00Z"",""eaglei-2022-42547897-20221221t180000z-20221222t000000z:27053:2022-12-21T21:45:00Z"",""eaglei-2022-42547897-20221221t180000z-20221222t000000z:27053:2022-12-21T22:00:00Z"",""eaglei-2022-42547897-20221221t180000z-20221222t000000z:27053:2022-12-21T22:15:00Z"",""eaglei-2022-42547897-20221221t180000z-20221222t000000z:27053:2022-12-21T22:30:00Z"",""eaglei-2022-42547897-20221221t180000z-20221222t000000z:27053:2022-12-21T22:45:00Z"",""eaglei-2022-42547897-20221221t180000z-20221222t000000z:27053:2022-12-21T23:00:00Z"",""eaglei-2022-42547897-20221221t180000z-20221222t000000z:27053:2022-12-21T23:15:00Z"",""eaglei-2022-42547897-20221221t180000z-20221222t000000z:27053:2022-12-21T23:30:00Z"",""eaglei-2022-42547897-20221221t180000z-20221222t000000z:27053:2022-12-21T23:45:00Z""]"
